epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,390.512,1.5933,2.83134,1.47182,0.35172,0.58462,0.30768,0.12737,1.54466,3.10281,1.52344,0.000659004,0.000659004,0.000659004
2,678.645,1.66381,2.64949,1.52083,0.3433,0.3,0.25539,0.15202,1.54979,2.84772,1.54595,0.00128192,0.00128192,0.00128192
3,1140.26,1.57633,2.29594,1.44016,0.46864,0.56154,0.4097,0.15008,1.80756,3.95625,1.61529,0.00186084,0.00186084,0.00186084
4,1588.12,1.60837,2.15794,1.43466,0.53886,0.69231,0.54534,0.31645,1.34637,3.4117,1.30709,0.001802,0.001802,0.001802
5,2045.46,1.55422,1.9129,1.41254,0.51364,0.66154,0.45909,0.27008,1.39275,1.7586,1.27175,0.001736,0.001736,0.001736
6,2490.38,1.48406,1.77392,1.40286,0.63538,0.66154,0.56822,0.35235,1.37541,1.70018,1.22864,0.00167,0.00167,0.00167
7,2926.33,1.49611,1.68669,1.36867,0.60219,0.70769,0.66669,0.45252,1.33876,1.82347,1.26573,0.001604,0.001604,0.001604
8,3370.27,1.49848,1.67914,1.37394,0.61397,0.73846,0.58968,0.37047,1.19906,1.56207,1.21153,0.001538,0.001538,0.001538
9,3822.95,1.48659,1.58132,1.39339,0.6016,0.72308,0.66428,0.41613,1.27305,1.54817,1.19236,0.001472,0.001472,0.001472
10,4286.86,1.41073,1.56167,1.34109,0.63717,0.72946,0.66579,0.41602,1.22043,1.34874,1.17569,0.001406,0.001406,0.001406
11,4731.27,1.40047,1.46363,1.33529,0.58995,0.78579,0.68184,0.42346,1.20713,1.61907,1.16534,0.00134,0.00134,0.00134
12,5157.66,1.36985,1.4665,1.3277,0.6123,0.73077,0.67534,0.46901,1.17808,1.295,1.15627,0.001274,0.001274,0.001274
13,5589.2,1.38419,1.3814,1.31373,0.57274,0.75276,0.7251,0.47951,1.13825,1.30501,1.12787,0.001208,0.001208,0.001208
14,6112.82,1.32512,1.37386,1.28893,0.60471,0.81538,0.76759,0.53185,1.12496,1.19991,1.12843,0.001142,0.001142,0.001142
15,6641.19,1.29929,1.33804,1.2862,0.6269,0.82308,0.74765,0.52175,1.1145,1.21789,1.13009,0.001076,0.001076,0.001076
16,7184.89,1.27002,1.27491,1.26429,0.6702,0.72308,0.75033,0.50772,1.10793,1.2023,1.09451,0.00101,0.00101,0.00101
17,7722.21,1.28732,1.32899,1.30231,0.71906,0.7,0.78169,0.49723,1.15848,1.24663,1.13555,0.000944,0.000944,0.000944
18,8249.08,1.24859,1.25157,1.25543,0.72547,0.81312,0.8528,0.59746,1.06365,1.02604,1.09216,0.000878,0.000878,0.000878
19,289.76,1.23687,1.26953,1.24929,0.72917,0.67692,0.82484,0.56433,1.04287,1.10822,1.09041,0.000812,0.000812,0.000812
20,560.863,1.25458,1.22006,1.27091,0.74565,0.77692,0.85209,0.60148,1.04545,1.03964,1.10175,0.000746,0.000746,0.000746
21,814.316,1.17003,1.19117,1.23455,0.67237,0.75775,0.74079,0.49642,1.10267,1.23706,1.11854,0.00068,0.00068,0.00068
22,1056.67,1.17147,1.10889,1.26934,0.62736,0.86154,0.78888,0.51889,1.21206,1.14232,1.17099,0.000614,0.000614,0.000614
23,1298.27,1.21581,1.09512,1.28943,0.74741,0.84218,0.8493,0.6173,1.03579,1.0055,1.09765,0.000548,0.000548,0.000548
24,1540.49,1.12529,1.06229,1.21608,0.85346,0.67202,0.86156,0.58658,1.09308,0.99957,1.1003,0.000482,0.000482,0.000482
25,1784.2,1.12358,1.00192,1.20523,0.8101,0.82039,0.88602,0.63433,1.04036,0.90416,1.102,0.000416,0.000416,0.000416
26,2026.45,1.07982,0.95367,1.18579,0.76633,0.78207,0.8573,0.6124,1.06247,0.95344,1.10062,0.00035,0.00035,0.00035
27,2346.37,1.05395,0.92838,1.18049,0.84826,0.86003,0.88755,0.64213,1.00925,0.91395,1.07312,0.000284,0.000284,0.000284
28,2771.64,1.0394,0.86529,1.1989,0.86633,0.8,0.89192,0.64824,0.99926,0.90878,1.06873,0.000218,0.000218,0.000218
29,3272.32,0.99645,0.86828,1.16895,0.84555,0.8,0.88861,0.66008,0.99472,0.89936,1.0722,0.000152,0.000152,0.000152
30,3584.58,0.99991,0.85684,1.16465,0.8439,0.83173,0.89886,0.66514,0.95471,0.85802,1.05696,8.6e-05,8.6e-05,8.6e-05
